,name,rating,reviews,benefits
554,Medi Assist India,3.8,1.2k,142
555,DHL Express,4.1,1.2k,179
556,Exela Technologies,3.6,1.2k,79
557,Globiva,3.2,1.2k,96
558,Haldiram Foods,4.0,1.2k,101
559,FactSet,4.0,1.2k,208
560,HDFC Securities,3.7,1.2k,134
561,Tata Group,4.3,1.2k,116
562,Nuvoco Vistas,4.3,1.2k,132
563,CG Power and Industrial Solutions,3.9,1.2k,224
564,Piramal Group,4.0,1.2k,192
565,Medanta the Medicity,4.2,1.2k,153
566,Aadhar Housing Finance,4.1,1.2k,104
567,UBS,3.8,1.2k,143
568,Orange Business,4.3,1.2k,248
569,Hindustan Petroleum,4.2,1.2k,152
570,Relaxo Footwear,4.3,1.2k,147
571,BNP Paribas,3.9,1.2k,188
572,Photon Interactive,3.9,1.2k,167
573,FirstCry,3.8,1.2k,86
574,First American Corporation,3.9,1.2k,161
575,Morgan Stanley,3.7,1.2k,163
576,NextComm Corporation,4.9,1.2k,43
577,Aforeserve,3.5,1.2k,89
578,Biocon Biologics,3.8,1.2k,364
579,Oracle Cerner,3.7,1.2k,268
580,Security and Intelligence Services (India),4.2,1.2k,142
581,Belrise Industries,3.8,1.2k,102
582,Aon,4.0,1.2k,205
583,IDC Technologies,3.3,1.2k,49
584,Emami,4.0,1.2k,132
585,Bata,3.9,1.2k,119
586,Exotic Learning,4.5,1.2k,183
587,Hindustan Construction Company,4.2,1.2k,163
588,Dell EMC,4.2,1.2k,201
589,Fusion BPO Services,3.1,1.2k,100
590,Toyota Kirloskar Motor,4.4,1.2k,172
591,Marriott International,4.3,1.2k,185
592,KFC,4.2,1.2k,157
593,Mercer,3.8,1.2k,245
594,Narayana Educational Society,3.7,1.2k,119
595,Tesco,3.9,1.2k,194
596,Faurecia,4.0,1.2k,202
597,Trent,4.1,1.1k,136
598,Tata Power,4.0,1.1k,149
599,Trident Group,3.5,1.1k,133
600,FedEx Express,4.2,1.1k,191
601,TaskUs,3.5,1.1k,127
602,Tata Advanced Systems,3.9,1.1k,142
